column_name,column_type,null,key,default,extra
additives_n,INTEGER,YES,,,
additives_tags,VARCHAR[],YES,,,
allergens_tags,VARCHAR[],YES,,,
brands_tags,VARCHAR[],YES,,,
brands,VARCHAR,YES,,,
categories,VARCHAR,YES,,,
categories_tags,VARCHAR[],YES,,,
checkers_tags,VARCHAR[],YES,,,
ciqual_food_name_tags,VARCHAR[],YES,,,
cities_tags,VARCHAR[],YES,,,
code,VARCHAR,YES,,,
compared_to_category,VARCHAR,YES,,,
complete,INTEGER,YES,,,
completeness,FLOAT,YES,,,
correctors_tags,VARCHAR[],YES,,,
countries_tags,VARCHAR[],YES,,,
created_t,BIGINT,YES,,,
creator,VARCHAR,YES,,,
data_quality_errors_tags,VARCHAR[],YES,,,
data_quality_info_tags,VARCHAR[],YES,,,
data_quality_warnings_tags,VARCHAR[],YES,,,
data_sources_tags,VARCHAR[],YES,,,
ecoscore_data,VARCHAR,YES,,,
ecoscore_grade,VARCHAR,YES,,,
ecoscore_score,INTEGER,YES,,,
ecoscore_tags,VARCHAR[],YES,,,
editors,VARCHAR[],YES,,,
emb_codes_tags,VARCHAR[],YES,,,
emb_codes,VARCHAR,YES,,,
entry_dates_tags,VARCHAR[],YES,,,
food_groups_tags,VARCHAR[],YES,,,
generic_name,"STRUCT(lang VARCHAR, ""text"" VARCHAR)[]",YES,,,
images,"STRUCT(""key"" VARCHAR, imgid INTEGER, sizes STRUCT(""100"" STRUCT(h INTEGER, w INTEGER), ""200"" STRUCT(h INTEGER, w INTEGER), ""400"" STRUCT(h INTEGER, w INTEGER), ""full"" STRUCT(h INTEGER, w INTEGER)), uploaded_t BIGINT, uploader VARCHAR)[]",YES,,,
informers_tags,VARCHAR[],YES,,,
ingredients_analysis_tags,VARCHAR[],YES,,,
ingredients_from_palm_oil_n,INTEGER,YES,,,
ingredients_n,INTEGER,YES,,,
ingredients_original_tags,VARCHAR[],YES,,,
ingredients_percent_analysis,INTEGER,YES,,,
ingredients_tags,VARCHAR[],YES,,,
ingredients_text,"STRUCT(lang VARCHAR, ""text"" VARCHAR)[]",YES,,,
ingredients_with_specified_percent_n,INTEGER,YES,,,
ingredients_with_unspecified_percent_n,INTEGER,YES,,,
ingredients_without_ciqual_codes_n,INTEGER,YES,,,
ingredients_without_ciqual_codes,VARCHAR[],YES,,,
ingredients,VARCHAR,YES,,,
known_ingredients_n,INTEGER,YES,,,
labels_tags,VARCHAR[],YES,,,
labels,VARCHAR,YES,,,
lang,VARCHAR,YES,,,
languages_tags,VARCHAR[],YES,,,
last_edit_dates_tags,VARCHAR[],YES,,,
last_editor,VARCHAR,YES,,,
last_image_t,BIGINT,YES,,,
last_modified_by,VARCHAR,YES,,,
last_modified_t,BIGINT,YES,,,
last_updated_t,BIGINT,YES,,,
link,VARCHAR,YES,,,
main_countries_tags,VARCHAR[],YES,,,
manufacturing_places_tags,VARCHAR[],YES,,,
manufacturing_places,VARCHAR,YES,,,
max_imgid,INTEGER,YES,,,
minerals_tags,VARCHAR[],YES,,,
misc_tags,VARCHAR[],YES,,,
new_additives_n,INTEGER,YES,,,
no_nutrition_data,BOOLEAN,YES,,,
nova_group,INTEGER,YES,,,
nova_groups_tags,VARCHAR[],YES,,,
nova_groups,VARCHAR,YES,,,
nucleotides_tags,VARCHAR[],YES,,,
nutrient_levels_tags,VARCHAR[],YES,,,
nutriments,"STRUCT(""name"" VARCHAR, ""value"" FLOAT, ""100g"" FLOAT, serving FLOAT, unit VARCHAR, prepared_value FLOAT, prepared_100g FLOAT, prepared_serving FLOAT, prepared_unit VARCHAR)[]",YES,,,
nutriscore_grade,VARCHAR,YES,,,
nutriscore_score,INTEGER,YES,,,
nutrition_data_per,VARCHAR,YES,,,
obsolete,BOOLEAN,YES,,,
origins_tags,VARCHAR[],YES,,,
origins,VARCHAR,YES,,,
owner_fields,"STRUCT(field_name VARCHAR, ""timestamp"" BIGINT)[]",YES,,,
owner,VARCHAR,YES,,,
packagings_complete,BOOLEAN,YES,,,
packaging_recycling_tags,VARCHAR[],YES,,,
packaging_shapes_tags,VARCHAR[],YES,,,
packaging_tags,VARCHAR[],YES,,,
packaging_text,"STRUCT(lang VARCHAR, ""text"" VARCHAR)[]",YES,,,
packaging,VARCHAR,YES,,,
packagings,"STRUCT(material VARCHAR, number_of_units BIGINT, quantity_per_unit VARCHAR, quantity_per_unit_unit VARCHAR, quantity_per_unit_value VARCHAR, recycling VARCHAR, shape VARCHAR, weight_measured FLOAT)[]",YES,,,
photographers,VARCHAR[],YES,,,
popularity_key,BIGINT,YES,,,
popularity_tags,VARCHAR[],YES,,,
product_name,"STRUCT(lang VARCHAR, ""text"" VARCHAR)[]",YES,,,
product_quantity_unit,VARCHAR,YES,,,
product_quantity,VARCHAR,YES,,,
purchase_places_tags,VARCHAR[],YES,,,
quantity,VARCHAR,YES,,,
rev,INTEGER,YES,,,
scans_n,INTEGER,YES,,,
serving_quantity,VARCHAR,YES,,,
serving_size,VARCHAR,YES,,,
states_tags,VARCHAR[],YES,,,
stores_tags,VARCHAR[],YES,,,
stores,VARCHAR,YES,,,
traces_tags,VARCHAR[],YES,,,
unique_scans_n,INTEGER,YES,,,
unknown_ingredients_n,INTEGER,YES,,,
unknown_nutrients_tags,VARCHAR[],YES,,,
vitamins_tags,VARCHAR[],YES,,,
with_non_nutritive_sweeteners,INTEGER,YES,,,
with_sweeteners,INTEGER,YES,,,
